asin,sale_price,mrp,product_url,full_title,product_image,product_price,brand,colour,item_dimensions_l_x_w_x_h,shape,number_of_items,package_size_name,manufacturer,net_quantity,scent,product_benefits,sun_protection_factor,item_weight,skin_type,item_volume,item_form,finish_type,special_ingredients,speciality,age_range_(description),skin_tone,material_type_free,special_feature,material_feature,use_for,package_information,flavour,net_content_count,is_heat_sensitive?,active_ingredients,recommended_uses_for_product,power_source,material,massager_form,specific_uses_for_product,product_dimensions,coverage,bristle_material,item_package_quantity,sun_protection,model_name,shelf_life,hair_type,size,heater_surface_material,eyelid_colour_type,country_region_of_origin,style,number_of_pieces,pattern,target_audience,lip_color_undertone,product_care_instructions,operation_mode
B0F8JD36CQ,₹299,₹14.95,https://www.amazon.in/dp/B0F8JD36CQ,"Multi-Shape Makeup Sponge Set | 20 Piece Beauty Puff Collection with Headband and Clean Sponge | Pink, Purple, Beige & Bright Sets | Face Blender Kit for Cream, Liquid & Powder | Aesthetic and Functional Makeup Tool (Brown, 20Pcs)",https://m.media-amazon.com/images/I/81cn5ubXbHL._SX679_.jpg,₹299.00,Gege Bear,Brown,15 x 12 x 6 Centimeters,Assorted,1,20 count,GEGE BEAR,20 Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0DFMGBZ9Z,"₹1,200","₹2,400",https://www.amazon.in/dp/B0DFMGBZ9Z,"Beauty of Joseon Relief Sun Aqua-fresh Rice + B5, SPF 50+ PA++++ Sun Cream, Moisturizing & Calming Formula, Korean Skincare, 50ml",https://m.media-amazon.com/images/I/518ZII9nOxL._SX522_.jpg,"₹1,200.00",Beauty of Joseon,,30 x 30 x 150 Millimeters,,1,,,50.0 Milliliters,Unscented,Nourishing,50 Sun Protection Factor (SPF),1.69 Ounces,All,50 Millilitres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0C9MVCV9Z,₹67.62,₹69,https://www.amazon.in/dp/B0C9MVCV9Z,MARS Edge of Desire Lip Liner | One Swipe Smooth Application | Long Lasting Lip Pencil (1.4gm) (03-BLOOD BATH),https://m.media-amazon.com/images/I/61K1KjkHEBL._SX679_.jpg,₹67.62,MARS,03-BLOOD BATH,,,,,,,,Long Lasting & Easy to Carry,,1.4 Grams,,,Pencil,Matte,rose oil,One Swipe Application & Buttery Soft,Adult,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B006LXDVTM,₹149,₹298,https://www.amazon.in/dp/B006LXDVTM,NIVEA Pearl and Beauty 50ml Deo Underarm Roll On | With Pearl Extracts & Avocado Oil | 72 H Long Lasting Floral Scent | 0% Alcohol and Dermat Approved | For Women,https://m.media-amazon.com/images/I/41D6xYA74xL._SX679_.jpg,₹149.00,NIVEA,,,,1,,,50.0 Milliliters,Fresh,,,,,50 Millilitres,Liquid,,,,,,Alcohol Free; Colourant Free,"All Day Protection, Dermatologist Tested, Non Irritating",Alcohol Free,Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07WGMXX8Y,₹322,₹429,https://www.amazon.in/dp/B07WGMXX8Y,"Swiss Beauty Real Makeup Base Highlighting Primer| Skin-Hydrating Poreless Primer With Natural Glow Finish For Face Makeup |Shade - 01 Natural Tint, 32Ml",https://m.media-amazon.com/images/I/517WvzmVvpL._SX679_.jpg,₹322.00,SWISS BEAUTY,,,,1,,,32.0 Milliliters,,Adds glow to face & acts as a makeup base.,,30 Grams,Normal,30 Millilitres,Liquid,,,Multi-purpose primer for instant radiance.,,,,,,,Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0BSQWZ66K,₹112,₹116,https://www.amazon.in/dp/B0BSQWZ66K,"Swiss Beauty Kiss Kandy Tinted Lip Balm | Moisturising Non-Sticky Formula with Olive Oil & Vitamin E | Soft, Smooth & Hydrated Lips All Day | Pomegranate, 10ml",https://m.media-amazon.com/images/I/51OIVQrvBYL._SX679_.jpg,₹112.00,SWISS BEAUTY,Shade - 05 Pomegranate,,,1,,,,,"Nourishing,Smoothening,Softening",,10 Grams,All,,Cream,,,,,,Paraben Free,,Natural,,,Pomegranate,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0FVM5TTPT,₹332,₹369,https://www.amazon.in/dp/B0FVM5TTPT,Swiss Beauty Glow Up Makeup Fixer | Preps + Sets | Dewy Radiance | For Face & Body | With Vitamin C & Hyaluronic Acid | 100ml,https://m.media-amazon.com/images/I/51XOWNJa0TL._SX679_.jpg,₹332.00,SWISS BEAUTY,Transparent,40 x 60 x 40 Millimeters,,1,,,100.0 Milliliters,,,,100 Grams,All,,Liquid,Dewy,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0FZ94W6ZM,₹242,₹269,https://www.amazon.in/dp/B0FZ94W6ZM,"Swiss Beauty Jelly Bloom pH Lip Balm | Colour-Changing Tint | Hydrating | With Vitamin E | Vegan | Paraben-Free | Cruelty-Free | 3.6g, Shade- Rose Pop",https://m.media-amazon.com/images/I/51iJIZP-b5L._SX679_.jpg,₹242.00,SWISS BEAUTY,Rose Pop,,,1,,,3.6 Grams,,,,4 Grams,,,Stick,,Vitamin E,,,,,,,,,,1 Piece,No,,,,,,,,,,,,,,,,,,,,,,,,,
B09JVNZVH3,"₹1,200","₹2,400",https://www.amazon.in/dp/B09JVNZVH3,Beauty of Joseon Relief Sun Rice + Probiotics 50 ml SPF 50+ PA++++ Lightweight Korean Sunscreen for Oily Skin,https://m.media-amazon.com/images/I/61DA-VH24GL._SX522_.jpg,"₹1,200.00",Beauty of Joseon,,38 x 32 x 142 Millimeters,,1,,,50.0 Grams,Unscented,Moisturizing,50 Sun Protection Factor (SPF),69 Grams,All,,,,,,,,,,,,,,,,Vitamin E,,,,,,,,,,,,,,,,,,,,,,,,
B07XWGS5P5,₹247,₹329,https://www.amazon.in/dp/B07XWGS5P5,"Swiss Beauty Flawless Finish Foundation | Medium Coverage | Lightweight |Oil-Free Formula |Radiant Finish | Shade - 03 Natural Beige, 40gm",https://m.media-amazon.com/images/I/61BKTYKmUgL._SX679_.jpg,₹247.00,SWISS BEAUTY,03 Natural Beige,,,,,,,,Corrects Imperfections,,,"oily,sensitive,combination",,Liquid,,,,Adult,Light,Foundation,,,,Tube,,,,,Face Makeup,,,,,,,,,,,,,,,,,,,,,,,
B0H38XVYXK,₹149,₹499,https://www.amazon.in/dp/B0H38XVYXK,"Ice Roller for Face & Eyes | Silicone Ice Facial Massager for Skin Care, Puffiness, Dark Circles & Glowing Skin | Reusable Beauty Tool for Women & Men | Multi Color Variants (pink + BLUE)",https://m.media-amazon.com/images/I/71l84hy0IiL._SX679_.jpg,₹149.00,Busaji ENTERPRISE,Pink + Blue,,,,,,,,,,150 Grams,,,,,,,,,,,,"Face, Head, Neck",,,,,,,No Power Required,"Ice, Silicone",Massage Roller,"Cooling Therapy, Facial Massage, Neck Massage, Skincare Routine, Under-eye Treatment",7L x 7W x 11H Centimeters,,,,,,,,,,,,,,,,,,
B0FVM8JN3P,₹404,₹449,https://www.amazon.in/dp/B0FVM8JN3P,"Swiss Beauty Jelly Verse Eyeshadow Glow Stick | Rich Colour Payoff | Crease-Proof | Sparkling Shine | 6 Stellar Shades | Shade- 1. Star Shower, 3g",https://m.media-amazon.com/images/I/61n+rAl01vL._SY879_.jpg,₹404.00,SWISS BEAUTY,1. Star Shower,40 x 40 x 40 Millimeters,,1,,,3.0 Grams,,,,3 Grams,,,Jelly-like formula,,,,,All,,,,,,,,,,"Eyes, Lips, Cheeks",,,,,,Medium/Buildable,,,,,,,,,,,,,,,,,
B0F1LKMWF9,₹179,₹599,https://www.amazon.in/dp/B0F1LKMWF9,"13 Pcs Make up Brushes Set, Foundation Powder Concealer Eyeshadow Blush Highlighter Eyebrow Brush Make up Brush Set, Travel Makeup Brushes with Cloth Bag for Beginner and Make up Artist (Green)",https://m.media-amazon.com/images/I/61xj0G7cnLL._SX679_.jpg,₹179.00,First Beauty,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For Blending, For Blush, For Foundation, For Highlighting, For Setting Powder",,"Synthetic Fiber,Plastic",,,,,Synthetic Fiber,,,,,,,,,,,,,,,,
B08NYD1GGK,₹200,₹100,https://www.amazon.in/dp/B08NYD1GGK,POND'S Bright Beauty Spot Less Fairness Face Wash|| Removes Dead Skin And Dark Spots|| 200 g,https://m.media-amazon.com/images/I/512dChFNuXL._SX679_.jpg,₹200.00,POND'S,,50 x 50 x 160 Millimeters,,,,,,Floral,Brightening,,200 Grams,All,,Cream,,,,Adult,,,,Natural,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
B08QSWPZS5,₹160,₹199,https://www.amazon.in/dp/B08QSWPZS5,"Maybelline New York Fit Me Compact Powder, Matte + Poreless Compact Powder, upto 16 hours of Oil Control with SPF 32 PA+++ and UV filters & ideal for normal to oily skin - 128 Warm Nude|6g",https://m.media-amazon.com/images/I/61FDV10Re5L._SX679_.jpg,₹160.00,Maybelline,"128, Warm Nude",,,1,,,,,"Flawless, Non-Comedogenic, Sun Protection",,,"All, Oily",,Pressed,,,,,,Paraben Free,,,,,,,,,,,,,,,,,,32 Sun Protection Factor (SPF),"Maybelline New York Compact Powder, With SPF to Protect Skin from Sun",1095 Days,,,,,,,,,,,,
B099QVJGCR,₹267,₹534,https://www.amazon.in/dp/B099QVJGCR,"Pond's Bright Beauty Light Cream with UV Filter | Niasorcinol | 100x Better than Vitamin C | Niacinamide | Fades Dark Spots, Brightens Skin, 50g",https://m.media-amazon.com/images/I/51qbCjJYqEL._SX679_.jpg,₹267.00,POND'S,,8.7 x 5.6 x 8.6 Centimeters,,1,,,50.0 Grams,Cherry,"Brightening,Lightening,Moisturizing",,50 Grams,All,50 Millilitres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0DK5P94H9,₹199,₹249,https://www.amazon.in/dp/B0DK5P94H9,"MILA BEAUTÉ Gloss Girl Lip Gloss|Enriched With Mango Seed Butter & Hyaluronic Acid |Light Weight & Non-Sticky Formula|Gives Fuller-Lip Effect & Extra Hydration | High Shine Finish-My Choice, 2.8 Ml",https://m.media-amazon.com/images/I/715ZI9XF3ML._SX679_.jpg,₹199.00,MILA BEAUTÉ,My Choice,,,,,,,,"Hydrating, Long Wearing, Moisturizing, Nourishing",,25 Grams,,,Liquid,Glossy,"Hyaluronic Acid, Mango Seed Butter","10 Shades, Fuller Lip Effect, High Shine, Non-Sticky, With Hyaluronic Acid",Adult,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08VF83YH2,₹65,₹69,https://www.amazon.in/dp/B08VF83YH2,"Swiss Beauty Bold Matt Lip Liner | Long-lasting |Matte Finish | Non-drying | Shade-01, 1.6gm",https://m.media-amazon.com/images/I/51nrLQfZ37L._SX679_.jpg,₹65.00,SWISS BEAUTY,Shade-01,,,,,,,,This keep your lips moisturized.,,2 Grams,,,Stick,Matte,,Water-Resistant,Adult,All,Paraben Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0B6Y3FNV7,₹207,₹118.29,https://www.amazon.in/dp/B0B6Y3FNV7,"L'Oreal Paris Fresh Hyaluron Moisture 72HR Moisture Sealing Conditioner Powered By Hyaluronic Acid, For Frizz-Free, Hydrated And Bouncy Hair Full Of Life For All Hair Types | 175 Millilitres",https://m.media-amazon.com/images/I/511fPrnY+bL._SX679_.jpg,₹207.00,L'Oreal Paris,,,,1,,,175.0 Milliliters,Fresh,Hydrating,,,,,Liquid,,,,Adult,,,,Natural,,,,,,,"Hair Shine,Hydrating,Moisturizing",,,,,,,,,,,,Dry,,,,,,,,,,,
B0B45LL4DD,"₹1,136",₹37.87,https://www.amazon.in/dp/B0B45LL4DD,"Beauty of Joseon Revive Eye Serum with Ginseng & Retinal (30m) | Anti-Aging, Wrinkle Care, Korean Eye Cream for Dark Circles & Fine Lines",https://m.media-amazon.com/images/I/51PbZMgofCL._SX522_.jpg,"₹1,136.00",Beauty of Joseon,,,,1,,,,,Anti-Ageing,,0.05 Kilograms,All,1.01 Fluid Ounces,Gel,,,,,,,,Anti Ageing,Eye,,,,,,"Dark Circles, Fine Lines, Puffiness",,,,,,,,,,,,,,,,,,,,,,,
B0GPPYHR9J,₹64,₹64,https://www.amazon.in/dp/B0GPPYHR9J,"Derma Roller for Hair & Beard Growth – 540 Titanium Micro Needles for Hair Regrowth, Beard Growth, Acne Scar Reduction & Skin Rejuvenation – Safe for Men & Women (Black) (1.0 MM)",https://m.media-amazon.com/images/I/51AfpTK-GRL.jpg,₹64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0GPWXY2XG,₹299,₹299,https://www.amazon.in/dp/B0GPWXY2XG,"Ceramic Hair Straightening Comb, Hair Straightener for Woman, Electric Hair Brush Straightener Comb for Smooth, Silky Hair - Straightener Brush with 30s Heating, 5 Heat Settings (MultiColor)",https://m.media-amazon.com/images/I/31siZyQUYCL.jpg,₹299.00,Generic,Green,,Comb,,,,,,Straightens and smooths hair quickly and safely,,300 Grams,,,,,,,,,,,,,,,,,,,Corded Electric,"Ceramic, Metal, Plastic",,,,,,,,,,Straight,Standard,Ceramic,,,,,,,,,
B0FSQB83XJ,₹280,"₹1,555.56",https://www.amazon.in/dp/B0FSQB83XJ,"FACES CANADA Strobe Cream Mini- Rose Gold, 18ml | Primer + Highlighter + Moisturizer | Shea Butter & Hyaluronic Acid | Intense Hydration | Flawless Radiant Dewy Skin | Illuminating & Glowing Makeup Base",https://m.media-amazon.com/images/I/51yKs+HlJkL._SX679_.jpg,₹280.00,FACESCANADA,,33 x 25 x 131 Millimeters,,1,,,18.0 Milliliters,,,,,All,18 Millilitres,Cream,,"Hyaluronic Acid, Shea Butter",,,,,"Vegan, Cruelty Free, Alcohol Free, Paraben Free, Hydrating, Brightening, Illuminating, Dewy Finish",,,,,,,"Hyaluronic Acid, Shea Butter",,,,,,,,,,,,,,,,,,,,,,,,
B098R74DJT,₹319,"₹1,199",https://www.amazon.in/dp/B098R74DJT,"Beauty Rose Gold Remastered + Nude Edition Eyeshadow Palette Combo Kit - 36 Matte and Shimmer Finishes, Includes Black Eyeshadow - Complete Eye Shadow Palette Set","https://m.media-amazon.com/images/I/81mo9noDXpL._SX679_PIbundle-36,TopRight,0,0_AA679SH20_.jpg",₹319.00,HUDA GIRL,Rose Gold + New Nude Edition,7 x 14.2 x 1.8 Centimeters,,36,,,1 Count,,"Longlasting,Smoothening,Waterproof",,36 Grams,,,Powder,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,Eye Shadow,,,,,,,,
