asin,sale_price,mrp,product_url,full_title,product_image,product_price,brand,model_name,screen_size,colour,hard_disk_size,cpu_model,ram_memory_installed_size,operating_system,special_feature,graphics_card_description,graphics_coprocessor,cpu_speed,hard_disk_description
B0D2Y1BLDT,"₹59,990","₹73,163",https://www.amazon.in/dp/B0D2Y1BLDT,"Dell 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare FHD 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Grey, 1.66kg, [Vostro 3530], 12 Month McAfee, Thin & Light Laptop",https://m.media-amazon.com/images/I/712WiT-wexL._SX679_.jpg,"₹59,990.00",Dell,Vostro 3530,15.6 Inches,Titan Grey,512 GB,Core i5,16 GB,Windows 11 Home,10 Key Numeric Pad,Integrated,,,
B0BQJ68HHC,"₹46,990","₹48,692",https://www.amazon.in/dp/B0BQJ68HHC,"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light 1.63Kg",https://m.media-amazon.com/images/I/717WZ7WriwL._SX679_.jpg,"₹46,990.00",Dell,Vostro,14.96 Inches,Black,512 GB,Core i3 Family,8 GB,Windows 11 Home,Thin,Integrated,,,
B0H3PV7418,"₹1,09,990","₹1,80,690",https://www.amazon.in/dp/B0H3PV7418,"Lenovo IdeaPad Slim 3 Intel Core Ultra 5 322 Next-Gen AI PC (16GB RAM/512GB SSD/15.3"" (38.8cm)/WUXGA IPS/Copilot+ PC/Windows 11/MSO 365 Basic+Office 2024/Backlit Keyboard/Grey/1.6Kg), 83UR009QIN",https://m.media-amazon.com/images/I/81lOD07E0YL._SX679_.jpg,"₹1,09,990.00",Lenovo,IdeaPad Slim 3,15.3 Inches,Luna Grey,,Intel Core Ultra 5,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio, Memory Card Slot",Integrated,Integrated Intel Graphics,,
B0DTYKLHYC,"₹60,990","₹69,990",https://www.amazon.in/dp/B0DTYKLHYC,"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",https://m.media-amazon.com/images/I/818iNyzckGL._SX679_.jpg,"₹60,990.00",ASUS,ASUS Vivobook 15,15.6 Inches,Office 2024_Blue,512 GB,Core i5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,,,
B0CL7CMTXS,"₹44,999",,https://www.amazon.in/dp/B0CL7CMTXS,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",https://m.media-amazon.com/images/I/61AccNkmFFL._SX679_.jpg,"₹44,999.00",Lenovo,V15 Athlon,15.6 Inches,Silver,512 GB,Athlon,8 GB,Windows 11,Windows 11 Lifetime Validity,Dedicated,,,
B0GW8JNM6J,"₹39,990","₹59,999",https://www.amazon.in/dp/B0GW8JNM6J,"Acer Smartchoice Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X / 512GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop",https://m.media-amazon.com/images/I/81BEfyD0qeL._SX679_.jpg,"₹39,990.00",Acer,Aspire One,14 Inches,Pure Silver,512 GB,Celeron,12 GB,Windows 11 Home,Thin,Integrated,,,
B0H3Q1SMPR,"₹1,13,990","₹1,55,990",https://www.amazon.in/dp/B0H3Q1SMPR,"HP ProBook 440 G11 Business Laptop | Intel Core Ultra 5 125U | 16GB DDR5 RAM | 1TB SSD | 14"" WUXGA Display | Windows 11 Pro | Intel Graphics | Silver | 1.5kg",https://m.media-amazon.com/images/I/41VziAFZyOL.jpg,"₹1,13,990.00",HP,HP ProBook 440 G11,14 Inches,Silver,1 TB,Intel Core Ultra 5 125U,16 GB,Windows 11 Pro,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, Spill Resistant",Integrated,,,
B0FN9WN6XD,"₹63,990","₹84,990",https://www.amazon.in/dp/B0FN9WN6XD,"ASUS Vivobook 16,Smartchoice, 13th Gen, Intel Core i5-13420H,16GB RAM,512GB SSD,FHD, OLED,Win 11,M365 Basic (1Y),Backlit Keyboard,Office 2024,Silver,1.88 kg,X1605VA-SH1952WS, Thin & Light Laptop",https://m.media-amazon.com/images/I/71aaW7HXKnL._SX679_.jpg,"₹63,990.00",ASUS,X1605VA-SH1952WS,16 Inches,Cool Silver,512 GB,Core i5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,,,
B0D3HG5CMG,"₹45,990","₹54,990",https://www.amazon.in/dp/B0D3HG5CMG,"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",https://m.media-amazon.com/images/I/61SHFVKs+AL._SX679_.jpg,"₹45,990.00",HP,HP Laptop,39.6 Centimetres,Light Silver,512 GB,Ryzen 3,8 GB,Windows 11 Home,"Anti Glare Coating, Numeric Keypad",Integrated,,,
B09MM58Y7Q,"₹50,990","₹69,990",https://www.amazon.in/dp/B09MM58Y7Q,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._SX679_.jpg,"₹50,990.00",Lenovo,IdeaPad,15.6 Inches,Cloud Grey,512 GB,Ryzen 5,8 GB,Windows 11 Home,HD Audio,Integrated,,,
